lat,lon,depth
35.157417,139.5991,23.395
35.15743,139.5991,23.374
35.15744,139.5991,23.405
35.157425,139.59927,23.249
35.157436,139.59927,23.156
35.15745,139.59929,23.197
35.157433,139.59943,22.75
35.157444,139.59944,22.937
35.15745,139.59944,22.968
35.157497,139.5992,23.291
35.15752,139.59923,23.312
35.157494,139.59935,23.114
35.1575,139.59937,23.145
35.157505,139.59938,23.343
35.157555,139.59935,23.156
35.15749,139.59947,23.062
35.1575,139.59941,23.166
35.1575,139.59943,23.052
35.157505,139.5994,23.249
35.157505,139.59944,23.187
35.157505,139.59947,23.145
35.157578,139.5994,23.291
35.157505,139.59949,22.9945
35.157505,139.5995,22.781
35.15752,139.59949,23.01
35.15753,139.5995,22.895
35.157547,139.5995,23.093
35.15756,139.59952,22.771
35.15757,139.59953,22.698
35.157578,139.59955,22.718
35.157585,139.59956,22.718
35.157642,139.59949,22.989
35.1576,139.59964,22.052
35.15763,139.59978,21.719
35.157642,139.5998,21.522
35.15765,139.59981,21.449
35.15777,139.59987,19.961
35.157784,139.59969,22.261
35.157806,139.59972,22.292
35.157814,139.59975,22.052
35.15785,139.5998,21.678
35.157852,139.59981,21.282
35.157955,139.59961,22.802
35.157967,139.59962,22.833
35.157978,139.59962,22.781
35.15798,139.59964,22.625
35.157898,139.59975,21.678
35.157898,139.59976,21.699
35.157936,139.59985,20.668
35.15794,139.59987,20.429
35.15801,139.5997,21.001
35.158028,139.59976,17.661
35.15808,139.59987,17.983
35.1588,139.59973,18.4
35.158806,139.59972,18.348
35.159206,139.59927,29.66
35.15921,139.59927,29.618
35.15922,139.59926,29.566
35.159153,139.59933,29.493
35.15916,139.59932,29.233
35.15917,139.59932,29.348
35.15918,139.5993,29.327
35.159187,139.5993,29.275
35.159195,139.59929,29.462
35.15895,139.59956,22.594
35.15896,139.59955,22.698
35.15897,139.59953,22.916
35.158978,139.59952,23.208
35.158985,139.5995,23.187
35.158897,139.59976,20.491
35.15888,139.59978,19.68
35.15888,139.5998,19.70433333333333
35.15888,139.59981,20.195
35.15888,139.59985,19.253
35.15888,139.59987,18.951
35.158897,139.59978,20.0025
35.1589,139.59981,19.258
35.1589,139.59982,16.068
35.158905,139.59981,19.315
35.15891,139.5998,20.314
35.158913,139.59981,20.138
35.158913,139.59982,19.44
35.15892,139.59982,20.887
35.158928,139.59982,18.6545
35.158882,139.59984,14.799
35.158886,139.59985,18.816
35.15889,139.59984,19.076
35.1589,139.59984,19.014
35.158974,139.59984,16.526
35.15898,139.59985,17.005
35.15898,139.59987,20.814
35.158985,139.59987,19.815
35.15899,139.59985,16.079
35.159096,139.59973,25.622
35.159096,139.5998,22.791
35.159107,139.59987,23.197
35.159115,139.59985,23.593
35.15912,139.59985,23.822
35.159195,139.59976,27.454
35.159203,139.59975,27.339
35.159214,139.59975,27.537
35.159126,139.59984,24.144
35.15914,139.59981,25.653
35.15915,139.5998,26.08
35.159157,139.5998,26.423
35.159172,139.59978,27.141
35.159184,139.59978,27.037
35.157448,139.6003,7.639
35.15746,139.6003,7.961
35.157646,139.60027,10.168
35.157654,139.60101,12.27
35.157646,139.60107,11.448
35.157413,139.6017,9.481
35.15742,139.60168,9.304
35.157433,139.60167,9.481
35.157444,139.60165,9.679
35.157455,139.60164,9.772
35.15751,139.60152,7.014
35.157516,139.60149,7.16
35.157524,139.60147,7.233
35.15753,139.60146,7.337
35.157337,139.60193,7.608
35.15734,139.6019,7.878
35.157345,139.60188,8.315
35.15735,139.60185,8.346
35.157352,139.60184,8.19
35.15757,139.60254,4.735
35.15757,139.6026,4.995
35.15765,139.60269,4.995
35.157795,139.5999,20.533
35.1578,139.59991,20.127
35.15779,139.59993,19.222
35.1578,139.59995,18.753
35.157806,139.5999,20.429
35.157818,139.59991,20.325
35.15783,139.59991,20.158
35.157806,139.59996,18.545
35.157814,139.59996,18.577
35.157833,139.59995,19.461
35.15784,139.59993,20.106
35.157852,139.59993,19.909
35.157825,139.59998,18.816
35.157837,139.59998,18.504
35.15785,139.59998,18.92
35.1578,139.60025,12.093
35.15781,139.60025,11.978
35.157944,139.59988,20.013
35.15795,139.59995,17.796
35.15795,139.59996,17.307
35.15791,139.59999,17.983
35.15796,139.59998,17.067
35.15797,139.59999,15.319
35.157974,139.6,15.049
35.157986,139.60002,15.059
35.157993,139.60004,14.487
35.158,139.60005,13.602
35.158005,139.60008,12.894
35.158012,139.60008,12.176
35.158024,139.6001,11.469
35.158035,139.60011,11.011
35.158047,139.60011,10.511
35.1577,139.60045,10.428
35.15782,139.60027,11.281
35.157833,139.60027,10.979
35.15785,139.60027,10.126
35.157703,139.6006,10.053
35.15794,139.60031,9.47
35.157955,139.60031,9.189
35.158005,139.60033,8.742
35.15802,139.60034,8.305
35.158035,139.60034,8.315
35.158047,139.60036,8.43
35.158154,139.60002,14.809
35.15816,139.60004,14.382
35.15817,139.60005,14.382
35.15821,139.60008,10.012
35.158215,139.6002,6.702
35.158348,139.60013,12.54
35.158363,139.60013,12.395
35.15838,139.60014,12.02
35.158394,139.60014,10.927
35.158405,139.60014,10.449
35.158424,139.60014,10.75
35.15822,139.60042,12.603
35.158226,139.60042,12.676
35.15823,139.60043,12.905
35.15824,139.60045,13.123
35.158245,139.60045,13.29
35.158257,139.60031,11.115
35.15829,139.60042,14.008
35.15829,139.60054,14.143
35.157677,139.60081,14.299
35.15768,139.60071,11.833
35.15769,139.6007,11.083
35.157692,139.60068,10.688
35.15847,139.60002,7.316000000000001
35.158493,139.60016,11.729
35.158497,139.60008,12.062
35.158504,139.6001,11.947
35.15851,139.60011,12.301
35.158512,139.60013,12.665
35.15851,139.60019,11.999
35.158524,139.6002,13.175
35.158535,139.60022,13.977
35.158615,139.60011,11.437
35.15862,139.60008,11.812
35.15862,139.6001,11.469
35.15862,139.60013,11.333
35.158627,139.60013,11.812
35.15863,139.60007,10.709
35.158543,139.60022,14.164
35.15855,139.60023,14.278
35.158558,139.60025,14.32
35.15881,139.5999,18.441
35.15882,139.5999,18.701
35.15883,139.59996,16.193
35.15882,139.59999,14.32
35.15882,139.6,15.319
35.15883,139.59999,14.611
35.15882,139.60002,15.558
35.15883,139.60002,16.162
35.158707,139.60011,13.092
35.15872,139.60011,13.373
35.158722,139.6001,12.457
35.158726,139.6001,13.196
35.15873,139.60011,11.895
35.158733,139.6001,12.873
35.158768,139.60013,14.934
35.158783,139.60011,15.798
35.158802,139.60008,15.787
35.1588,139.60014,15.038
35.158813,139.60014,14.58
35.15883,139.60014,14.497
35.15878,139.6002,14.996
35.158783,139.60017,16.839
35.158783,139.60022,15.225
35.158787,139.60023,15.465
35.158794,139.60023,16.682
35.158806,139.60025,18.087
35.158813,139.60025,17.91
35.15882,139.60025,18.202
35.15862,139.60036,17.14
35.15863,139.60037,17.838
35.158722,139.60034,18.629
35.15873,139.60033,17.723
35.158707,139.60037,18.8105
35.158714,139.60037,18.712
35.158707,139.60043,18.795
35.158714,139.60045,19.128
35.158737,139.60027,16.412
35.158737,139.6003,16.839
35.158737,139.60031,17.286
35.158737,139.60033,17.192
35.158787,139.6005,20.668
35.1588,139.60051,20.981
35.15881,139.60051,21.303
35.158825,139.60052,21.376
35.158764,139.60063,20.481
35.158764,139.60065,20.398
35.158855,139.59991,16.0425
35.15886,139.59988,15.767
35.158867,139.59991,17.172
35.15887,139.5999,15.475
35.15888,139.5999,16.027
35.158855,139.59995,15.205
35.15886,139.59995,15.34
35.158863,139.59996,15.132
35.158867,139.59996,15.902
35.158875,139.59993,16.225
35.158875,139.59995,14.976
35.158897,139.59991,15.028
35.158905,139.5999,16.11
35.158913,139.59991,15.361
35.158916,139.59991,16.266
35.158928,139.5999,15.871
35.158928,139.59991,17.536
35.158882,139.59993,14.892
35.158886,139.59993,14.799
35.15889,139.59993,15.964
35.1589,139.59995,14.965
35.158913,139.59995,14.393
35.158928,139.59995,15.173
35.15885,139.6,15.673
35.158855,139.6,15.798
35.15886,139.6,16.61
35.158875,139.59998,15.933
35.15885,139.60002,15.642
35.15885,139.60004,14.32
35.158855,139.60002,14.908
35.158894,139.59999,16.204
35.1589,139.59999,16.381
35.158905,139.6,16.266
35.1589,139.60004,17.338
35.15891,139.60004,17.432
35.158916,139.60002,16.256
35.158924,139.60002,16.297
35.15897,139.5999,16.381
35.158978,139.5999,16.443
35.158962,139.59995,17.3795
35.158974,139.59995,18.015
35.158974,139.59996,17.7285
35.159023,139.5999,21.147
35.158993,139.59996,18.701
35.159,139.59996,18.639
35.15901,139.59996,18.472
35.159008,139.59999,20.002
35.159023,139.6,21.303
35.159004,139.60004,21.792
35.159016,139.60004,21.928
35.15888,139.60011,14.965
35.15889,139.60011,15.444
35.158897,139.60011,15.704
35.15892,139.60007,18.15
35.158924,139.60008,17.64
35.158924,139.6001,17.14
35.158928,139.60011,17.38
35.158916,139.60014,16.537
35.158924,139.60016,16.485
35.158875,139.60019,15.205
35.15888,139.60019,15.361
35.158882,139.60017,15.288
35.158913,139.6002,22.073
35.158916,139.6002,20.325
35.15892,139.6002,20.21
35.158928,139.6002,21.043
35.158913,139.60022,22.313
35.158924,139.60022,21.1365
35.15893,139.60013,18.067
35.15894,139.60014,18.212
35.158947,139.60016,18.264
35.15896,139.60017,17.64
35.15896,139.6002,21.064
35.158966,139.6002,21.345
35.15897,139.6002,18.077
35.158978,139.60025,21.907
35.15898,139.6002,19.118
35.158993,139.6002,19.232
35.159004,139.6002,19.565
35.15901,139.6002,19.69
35.159023,139.6002,20.158
35.159058,139.59991,21.626
35.15906,139.59988,20.158
35.159065,139.5999,22.219
35.159065,139.59991,20.4495
35.15907,139.5999,23.124
35.159073,139.5999,21.293
35.159058,139.59993,21.792
35.159065,139.59993,22.063
35.15907,139.59993,22.583
35.159096,139.59988,22.729
35.159096,139.5999,25.528
35.159096,139.59991,24.3
35.1591,139.59991,21.012
35.159107,139.5999,25.393
35.159107,139.59991,21.262
35.15911,139.59991,22.521
35.15912,139.5999,23.6445
35.15912,139.59991,25.05
35.159122,139.59991,22.895
35.159122,139.59996,24.987
35.15907,139.59999,20.72
35.159065,139.60004,21.543
35.15907,139.60002,24.737
35.15909,139.59999,20.928
35.1591,139.59998,21.043
35.1591,139.59999,21.355
35.159115,139.59999,21.886
35.159115,139.6,22.573
35.15908,139.60002,24.352
35.159164,139.59991,24.633
35.15917,139.59991,25.56
35.159172,139.59996,26.132
35.159176,139.59991,25.008
35.15918,139.59991,25.331
35.159187,139.59991,26.236
35.159184,139.59996,26.122
35.15919,139.6,24.883
35.159195,139.59998,26.194
35.1592,139.6,25.216
35.159203,139.59998,26.049
35.159218,139.59999,26.142
35.159214,139.60002,25.872
35.15922,139.60002,25.893
35.15903,139.60022,20.231
35.159042,139.60022,20.564
35.159046,139.60025,20.949
35.159058,139.60025,21.647
35.159073,139.60025,22.365
35.159084,139.60025,23.312
35.15892,139.60034,20.804
35.15892,139.60036,20.72
35.158924,139.60034,22.24
35.15892,139.60037,20.648
35.158916,139.60043,22.521
35.158924,139.60045,22.802
35.158928,139.60043,22.989
35.158955,139.60027,22.104
35.158966,139.6003,20.908
35.158974,139.60028,20.897
35.158978,139.60027,21.522
35.158955,139.60034,21.064
35.158962,139.60033,21.262
35.158978,139.60039,22.042
35.158978,139.60043,23.395
35.158985,139.60039,22.021
35.158993,139.6004,22.021
35.159004,139.6004,22.115
35.159016,139.6004,22.229
35.159023,139.6004,22.406
35.15899,139.60043,23.385
35.159008,139.60043,23.697
35.159023,139.60042,23.884
35.15897,139.60056,23.197
35.158985,139.60056,23.26
35.158997,139.60057,23.135
35.159008,139.60059,23.124
35.159023,139.6006,23.27
35.159107,139.60042,24.207
35.15912,139.60042,24.394
35.159134,139.60027,24.394
35.159195,139.6004,24.737
35.159206,139.6004,24.706
35.159092,139.60048,22.864
35.159096,139.6005,23.353
35.159103,139.60051,23.374
35.15911,139.60052,23.114
35.15912,139.60056,23.301
35.159122,139.60056,23.197
35.159206,139.60065,23.437
35.15878,139.60085,20.648
35.1588,139.60104,20.179
35.158802,139.60112,20.346
35.158817,139.60133,18.254
35.15882,139.60135,18.233
35.15882,139.60141,17.296
35.158825,139.60138,17.869
35.158825,139.6014,17.421
35.15911,139.60075,23.27
35.15911,139.60078,22.916
35.15911,139.60085,23.176
35.159115,139.60077,23.228
35.159214,139.60066,23.447
35.159138,139.60097,22.666
35.15914,139.60098,22.906
35.15915,139.601,22.781
35.15915,139.60103,22.718
35.159153,139.60104,22.677
35.15916,139.60118,22.51
35.15916,139.6012,22.417
35.159164,139.60121,22.333
35.15917,139.60123,22.219
35.15918,139.60138,21.917
35.159184,139.6014,21.928
35.159184,139.60141,22.021
35.159187,139.60143,22.0
35.15792,139.60295,12.031
35.15794,139.60295,12.072
35.157963,139.60297,12.114
35.157978,139.60298,12.02
35.157997,139.603,12.166
35.158016,139.603,12.124
35.159008,139.60173,18.733
35.159023,139.60175,18.472
35.1592,139.60155,21.761
35.159203,139.60156,21.574
35.15921,139.60158,21.314
35.159218,139.6016,21.126
35.15921,139.60173,17.931
35.159218,139.60172,18.098
35.1592,139.60175,17.525
35.159206,139.60175,17.619
35.159153,139.60185,15.798
35.159157,139.60185,14.487
35.15916,139.60184,15.975
35.159153,139.6019,15.028
35.159153,139.60191,14.851
35.159172,139.60196,15.839
35.15918,139.60199,15.85
35.159184,139.60199,15.611
35.159187,139.602,16.308
35.15919,139.60202,16.745
35.159203,139.60207,16.901
35.1592,139.6021,16.953
35.1592,139.60211,16.839
